jaar,regio,bevolking_totaal,mannen,vrouwen,leeftijd_0_5,leeftijd_5_10,leeftijd_10_15,leeftijd_15_20,leeftijd_20_25,leeftijd_25_45,leeftijd_45_65,leeftijd_65_80,leeftijd_80plus,bevolkingsdichtheid_per_km2,vestiging_uit_andere_gemeente,vertrek_naar_andere_gemeente,binnenlands_migratiesaldo,verhuismobiliteit_pct,immigratie,emigratie,bevolkingsgroei,huishoudens_totaal,eenpersoonshuishoudens,paar_zonder_kind,gezin_met_kinderen,gem_huishoudensgrootte,woningdichtheid_per_km2,koopwoningen_pct,corporatiehuur_pct,vrije_huur_pct,gem_woz_waarde_x1000,gem_besteedbaar_inkomen_x1000,gem_besteedbaar_single_x1000,inkomen_eigenaar_gem_x1000,inkomen_huurder_gem_x1000
1995,GM1700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,GM1700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,GM1700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,GM1700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,GM1700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,GM1700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,GM1700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,GM1700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,GM1700,33427.0,16881.0,16546.0,2448.0,2156.0,2256.0,2450.0,2168.0,9672.0,8204.0,3275.0,798.0,314.0,701.0,822.0,-121.0,71.6,51.0,81.0,66.0,11779.0,2267.0,3550.0,5962.0,2.82,112.0,,,,124.0,,,,
2004,GM1700,33493.0,16927.0,16566.0,2465.0,2205.0,2232.0,2405.0,2155.0,9590.0,8327.0,3306.0,808.0,315.0,730.0,865.0,-135.0,73.2,65.0,60.0,56.0,11893.0,2342.0,3581.0,5970.0,2.8,112.0,,,,125.0,,,,
2005,GM1700,33549.0,16974.0,16575.0,2440.0,2256.0,2207.0,2371.0,2147.0,9484.0,8500.0,3297.0,847.0,316.0,680.0,925.0,-245.0,72.3,54.0,69.0,-111.0,11983.0,2419.0,3624.0,5940.0,2.78,113.0,,,,192.0,,,,
2006,GM1700,33438.0,16906.0,16532.0,2332.0,2329.0,2177.0,2293.0,2089.0,9355.0,8647.0,3337.0,879.0,315.0,690.0,855.0,-165.0,68.5,43.0,35.0,23.0,12091.0,2515.0,3651.0,5925.0,2.75,114.0,62.2,,,193.0,,,,
2007,GM1700,33461.0,16894.0,16567.0,2321.0,2402.0,2144.0,2191.0,2061.0,9239.0,8777.0,3385.0,941.0,315.0,738.0,941.0,-203.0,81.0,48.0,39.0,0.0,12138.0,2545.0,3706.0,5887.0,2.73,115.0,61.9,,,208.0,,,,
2008,GM1700,33461.0,16895.0,16566.0,2283.0,2455.0,2115.0,2135.0,2028.0,9107.0,8856.0,3500.0,982.0,315.0,789.0,806.0,-17.0,71.0,59.0,62.0,144.0,12263.0,2650.0,3809.0,5804.0,2.71,117.0,62.6,,,222.0,,,,
2009,GM1700,33605.0,16988.0,16617.0,2258.0,2476.0,2168.0,2127.0,1997.0,9005.0,8971.0,3580.0,1023.0,316.0,632.0,784.0,-152.0,62.0,51.0,39.0,-25.0,12391.0,2711.0,3884.0,5796.0,2.69,119.0,62.5,28.2,8.8,228.0,,,,
2010,GM1700,33580.0,16993.0,16587.0,2198.0,2466.0,2212.0,2056.0,1986.0,8898.0,8990.0,3696.0,1078.0,316.0,646.0,665.0,-19.0,61.0,71.0,34.0,147.0,12484.0,2785.0,3935.0,5764.0,2.67,119.0,62.2,28.0,9.4,232.0,,,,
2011,GM1700,33727.0,17071.0,16656.0,2199.0,2377.0,2323.0,2058.0,1950.0,8782.0,9136.0,3790.0,1112.0,317.0,748.0,686.0,62.0,64.3,60.0,52.0,202.0,12563.0,2859.0,3922.0,5782.0,2.66,120.0,61.6,27.9,10.1,227.0,37.3,19.6,43.8,24.3
2012,GM1700,33929.0,17193.0,16736.0,2154.0,2395.0,2388.0,2045.0,1947.0,8641.0,9181.0,4011.0,1167.0,319.0,717.0,800.0,-83.0,63.8,59.0,36.0,42.0,12678.0,2892.0,3986.0,5800.0,2.65,123.0,64.9,27.5,6.4,217.0,37.2,20.2,43.4,24.5
2013,GM1700,33971.0,17225.0,16746.0,2105.0,2360.0,2464.0,2030.0,1917.0,8490.0,9195.0,4211.0,1199.0,320.0,728.0,854.0,-126.0,59.4,53.0,57.0,-42.0,12867.0,3028.0,4036.0,5803.0,2.62,123.0,65.3,27.2,6.5,212.0,37.1,20.1,43.7,24.0
2014,GM1700,33929.0,17194.0,16735.0,2050.0,2311.0,2491.0,2070.0,1890.0,8234.0,9324.0,4343.0,1216.0,319.0,741.0,847.0,-106.0,61.0,51.0,68.0,-55.0,12886.0,3044.0,4057.0,5785.0,2.61,127.0,64.4,26.3,7.1,202.0,38.9,20.8,46.0,24.4
2015,GM1700,33874.0,17131.0,16743.0,1988.0,2247.0,2468.0,2144.0,1851.0,8058.0,9403.0,4451.0,1264.0,319.0,739.0,862.0,-123.0,69.1,59.0,53.0,-28.0,12927.0,3104.0,4083.0,5740.0,2.59,128.0,64.5,26.4,6.8,197.0,38.9,21.0,45.8,24.5
2016,GM1700,33846.0,17123.0,16723.0,1929.0,2264.0,2381.0,2256.0,1819.0,7858.0,9482.0,4574.0,1283.0,318.0,792.0,830.0,-38.0,68.4,56.0,36.0,-1.0,12991.0,3162.0,4163.0,5666.0,2.58,128.0,64.6,25.6,7.5,195.0,40.7,21.7,48.2,25.4
2017,GM1700,33845.0,17146.0,16699.0,1882.0,2213.0,2419.0,2317.0,1808.0,7718.0,9516.0,4659.0,1313.0,318.0,866.0,893.0,-27.0,78.7,51.0,42.0,58.0,13032.0,3249.0,4156.0,5627.0,2.57,128.0,64.5,25.5,7.6,198.0,42.0,22.5,49.8,26.1
2018,GM1700,33903.0,17189.0,16714.0,1834.0,2164.0,2393.0,2404.0,1797.0,7606.0,9530.0,4796.0,1379.0,319.0,865.0,1028.0,-163.0,80.4,71.0,39.0,-111.0,13086.0,3302.0,4160.0,5624.0,2.56,129.0,65.2,25.7,6.8,206.0,43.2,22.7,51.3,26.5
2019,GM1700,33792.0,17161.0,16631.0,1779.0,2099.0,2325.0,2416.0,1831.0,7488.0,9555.0,4890.0,1409.0,318.0,852.0,893.0,-41.0,82.1,58.0,49.0,-49.0,13142.0,3377.0,4150.0,5615.0,2.54,129.0,65.3,27.0,7.6,222.0,46.0,23.8,54.9,27.6
2020,GM1700,33743.0,17119.0,16624.0,1736.0,2065.0,2267.0,2420.0,1897.0,7418.0,9521.0,5016.0,1403.0,318.0,889.0,913.0,-24.0,78.8,43.0,36.0,-44.0,13184.0,3426.0,4192.0,5566.0,2.53,130.0,65.5,26.4,8.0,234.0,47.1,24.6,55.8,28.6
2021,GM1700,33699.0,17112.0,16587.0,1661.0,1983.0,2298.0,2360.0,2002.0,7370.0,9453.0,5140.0,1432.0,317.0,867.0,823.0,44.0,71.7,37.0,35.0,19.0,13253.0,3502.0,4210.0,5541.0,2.51,130.0,65.8,26.3,7.9,251.0,48.9,25.9,57.9,29.9
2022,GM1700,33718.0,17106.0,16612.0,1647.0,1955.0,2230.0,2384.0,2053.0,7384.0,9336.0,5285.0,1444.0,318.0,852.0,827.0,25.0,66.5,238.0,88.0,149.0,13360.0,3602.0,4260.0,5498.0,2.5,131.0,65.9,26.0,8.0,277.0,51.7,27.8,60.8,31.8
2023,GM1700,33867.0,17154.0,16713.0,1638.0,1916.0,2212.0,2348.0,2148.0,7439.0,9217.0,5431.0,1518.0,319.0,1028.0,912.0,116.0,64.9,148.0,58.0,206.0,13434.0,3639.0,4249.0,5546.0,2.49,132.0,66.1,25.6,8.2,326.0,60.2,29.9,72.1,34.3
2024,GM1700,34073.0,17274.0,16799.0,1651.0,1896.0,2188.0,2299.0,2195.0,7583.0,9194.0,5451.0,1616.0,321.0,907.0,866.0,41.0,65.4,150.0,111.0,40.0,13561.0,3694.0,4287.0,5580.0,2.48,133.0,66.8,25.1,8.1,339.0,64.7,31.3,77.6,37.0
2025,GM1700,34113.0,17288.0,16825.0,1661.0,1869.0,2167.0,2251.0,2212.0,7693.0,9059.0,5509.0,1692.0,321.0,,,,,,,,13617.0,3769.0,4243.0,5605.0,2.47,134.0,,,,354.0,,,,
